Chrono;Time;MIDS Status;DLIP Saturation;TDH079;retard (ms)
162.22;00:02:42.220;;;;10
162.25;00:02:42.250;;;;10
162.32;00:02:42.320;;;;20
162.35;00:02:42.350;;;;28
162.35;00:02:42.350;;;;28
162.38;00:02:42.380;;;;9
162.48;00:02:42.480;;;;20
162.51;00:02:42.510;;;;20
162.51;00:02:42.510;;;;20
162.57;00:02:42.570;;;;20
162.57;00:02:42.570;;;;20
162.66;00:02:42.660;;;;30
162.66;00:02:42.660;;;;30
162.74;00:02:42.740;;;;20
162.74;00:02:42.740;;;;20
162.77;00:02:42.770;;;;20
162.77;00:02:42.770;;;;20
162.86;00:02:42.860;;;;20
162.88;00:02:42.880;;;;10
162.88;00:02:42.880;;;;10
162.93;00:02:42.930;;;;30
162.93;00:02:42.930;;;;30
162.99;00:02:42.990;;;;19
163.05;00:02:43.050;;;;10
163.05;00:02:43.050;;;;10
163.07;00:02:43.070;;;;10
163.07;00:02:43.070;;;;10
163.14;00:02:43.140;;;;20
163.14;00:02:43.140;;;;20
163.22;00:02:43.220;;;;20
163.22;00:02:43.220;;;;20
163.29;00:02:43.290;;;;30
163.29;00:02:43.290;;;;30
163.98;00:02:43.980;;;;18
164.01;00:02:44.010;;;;28
164.01;00:02:44.010;;;;29
164.04;00:02:44.040;;;;28
164.07;00:02:44.070;;;;27
164.16;00:02:44.160;;;;21
164.71;00:02:44.710;;;;19
164.76;00:02:44.760;;;;9
164.79;00:02:44.790;;;;10
164.84;00:02:44.840;;;;30
165.23;00:02:45.230;;;;20
165.23;00:02:45.230;;;;20
165.26;00:02:45.260;;;;20
165.68;00:02:45.680;;;;10
165.84;00:02:45.840;;;;10
166.05;00:02:46.050;;;;20
166.81;00:02:46.810;;;;10
167.08;00:02:47.080;;;;30
167.08;00:02:47.080;;;;30
168.71;00:02:48.710;;;;20
168.98;00:02:48.980;;;;18
169.01;00:02:49.010;;;;9
169.27;00:02:49.270;;;;20
169.67;00:02:49.670;;;;9
169.72;00:02:49.720;;;;11
169.72;00:02:49.720;;;;11
169.74;00:02:49.740;;;;17
169.77;00:02:49.770;;;;19
169.83;00:02:49.830;;;;11
170.02;00:02:50.020;;;;10
170.22;00:02:50.220;;;;16
170.22;00:02:50.220;;;;16
170.25;00:02:50.250;;;;20
171.30;00:02:51.300;;;;10
171.66;00:02:51.660;;;;10
171.66;00:02:51.660;;;;10
171.71;00:02:51.710;;;;9
171.93;00:02:51.930;;;;30
172.38;00:02:52.380;;;;20
172.47;00:02:52.470;;;;20
172.47;00:02:52.470;;;;20
172.52;00:02:52.520;;;;10
172.61;00:02:52.610;;;;30
172.70;00:02:52.700;;;;31
172.70;00:02:52.700;;;;2
172.73;00:02:52.730;;;;30
173.05;00:02:53.050;;;;20
